Name,Stand,Address,Website,Facebook,Instagram,Youtube,LinkedIn,Twitter,Description
Aghati for Sweets & Ice Cream Co. Ltd.,Hall: Shk Rashid Hall Stand: R-228,"Waqqas St., Building No. 21 ,North Marka ,Jordan ",https://www.aghatisweets.com,https://www.facebook.com/aghatisweets,https://www.instagram.com/aghatisweets,,,https://www.twitter.com/aghatisweets,"Aghati tells a story of our ancestors love of confectionery and continues their profession as confectioners to create an indulging experience for people in all of their occasions from East to West across the globe. Aghati proudly presents a top quality Mediterranean Sweets, Ice Cream products and Turkish Delights Lokum. All our products are made with top quality ingredients and crafted with the hands of the finest confectioners in Middle East. With our distinctive taste, we have proven ourselves to be market leaders in the region while our quality comes at its finest to fit every consumer's taste. MISSION We established Aghati to provide the highest quality of sweets to the lovers of the authentic taste of Mediterranean sweets and Ice cream and make them enjoy an unforgettable taste while maintaining the heritage of our ancestors who made this desert with love, joy and passion VISION As we serve our market with the highest quality of desert locally and globally, but also aim to expanding our reach through establishing many branches across the Middle East and Western countries as well. OBJECTIVE Strive to promote our Jordanian brand globally as we manufacture our products in the highest standards that compete with world top producers of Mediterranean Sweets & Ice Cream."
Ahlia Group Co. W.L.L - KW,Hall: Hall 6 Stand: D6-39,"P.O. Box 2280 ,P.O Box 2280, Safat 13023, Kuwait ,Ardiya, Block 1 ,Kuwait ,Kuwait ,13023 ,Kuwait ",https://www.ahliafood.com,,,,,,"Ahlia Group was established in the year 1996 with the aim to process, pack and distribute authentic, premium spices, pulses, herbs and other food products. Over the years, we have emerged to be the market leader, prime importer, retailer, processor and distributor of spices, herbs and pulses globally. Our deep understanding of the spices industry permits us to guarantee customers with high quality products and premium packaging. For about 3 decades, Ahlia served its consumers by focussing on original values, original quality & original taste. The brand value stems from integrity, exceptional service, trust, reliability and doing what it takes to fulfil our consumers wishes. Due to our genuine long time unwavering services, the ‘Ahlia brand’ has been accepted abroad by many companies, distributors and retail outlets This is our third decade of service and our brand has expanded into the GCC markets, North-African region and the European continent. Since our inception in 1996, the Ahlia brand has grown leaps and bounds. All through our modest beginnings, we had maintained our vision and set eyes on accomplishing goals and eventually emerged as the market leader, surpassing the many brands that started earlier, but were short-lived. Our commitment to serve congenially and our unfailing willingness to provide our consumers the best quality products has made Ahlia the leader both in the industry and in the regions where we serve."
Agranela - RS,Hall: Trade Centre Arena Stand: S-C4,"Mirka Obradovica bb ,Valjevo ,14000 ,Serbia ",http://www.agranelasrbija.com/intro.php,https://www.facebook.com/Agranela/,https://www.instagram.com/agranelasrbija/,https://www.youtube.com/channel/UCEIDVo5cb20DvvFOlZxVD0Q,,,"Agranela‘s long term commitment and main goal is production of high quality, healthy product that complies with international standards and regulations. Their products are certified with HACCP, BRC , IFS and Organic standards. More than 90 percent of its production is exported, both in bulk and under their own label STELA PRUNELA, or under foreign customers PL requested. Their parent company established back in 1992 as a predominantly export-oriented company, is engaged in a range of diverse activities. In 2004, Agranela became an independent company fully dedicated to growing, manufacturing and processing of fruits, mostly plums. Products Pasteurized Prunes pitted or unpitted without preservative, with long shelf life, Conventional Prunes pitted or unpitted sorbated, Dried sour cherries, Dried pears, Chocolate coated prunes and apricots, Organic prunes."
AHMED FOODS (PRIVATE) LIMITED,Hall: Za'abeel Hall 6 Stand: Z6-F40,"AHMED HOUSE, D-112 Abdullah Ahmed Road, Sindh Industrial Trading Estate ,Karachi ,Pakistan ",https://ahmedfood.com.pk/,https://www.facebook.com/AhmedFoodsOfficial,https://instagram.com/ahmedfoodsofficial?igshid=NDk5N2NlZjQ=,https://www.youtube.com/@AHMEDFOODSPVTLTD,https://www.linkedin.com/company/ahmedfoods,,"Ahmed Foods, established in 1952, is one of the pioneers of ethnic foods in Pakistan, starting off with a dominant player in the region for Pickles, Jams, and Syrups. In time expanding our reach to the world with market-specific products. Our wide range of products include Pickles, Ground spices, Recipe spices, Jams, Crystals Jellies, Cooking Pastes, Ethnic Dessert and Sauces. Serving homes as well as hotels & restaurants our products cater to a wide range of customers. Over the years Ahmed Foods has solidified its place in the international market, garnering customers not only from the South East-Asian region but Western as well. One of our priced products for the Western audience is our Crystal Jellies which are Gluten-Free. This shows how versatile our line of products are."
AHT,Hall: Shk Rashid Hall Stand: R-N34,"#20, Mohri St., North Valiasr Ave ,Iran, Islamic Republic of ",https://www.AHTFOODS.com,,https://www.instagram@ahtfoods.com,,,,"WE ARE AHT, established in 1963, a family-owned, knowledge-based, and young-oriented private company with over four generations of experience, based on a scientific and creative approach and value creation, with a rich history of collaboration with our loyal customers around the world, as the noble and most well-known IFS, ORGANIC & SEDEX approved supplier and manufacturer of DRIED FRUIT, NUTS, FREEZE-DRIED fruit & vegetables in bulk and private label listed as follows to the globe. - PISTACHIOS and PISTACHIO KERNEL (AFLATOXIN FREE Guaranteed) - SULTANAS/RAISINS (PESTICIDE RESIDUE GUARANTEE) - DATES and DATES' products (Paste/Diced/Sliced/Syrup/Concentrate) - FIGS and FIG paste - APRICOTS - BARBERRIES - SAFFRON - FREEZE-DRIED FRUIT & VEGETABLES Significant investments in personnel, training, plants, and equipment over the past 60 years have resulted in a substantial increase in sales and the elimination of quality issues now our company is the leader in supplying the FIRST CLASS quality dried fruits & nuts to the globe. Through our own sales team, international customers are being supplied with the products in direct route from growers to the warehouse under international quality control organizations with the most professional R&D dept, and we take pride in having the most satisfied and loyal customers. ? We handpick our raw-materials from our network of local farmers, cautiously picking each item, always ensuring consistent and premium quality. We take our customers' needs sincerely and passionately adjust our sourcing, delivery, and selection to suit your specific business needs. Glad to invite you to have a quick look on our e-catalog http://www.ahtfoods.com/e-catalogue We will be pleased to serve you in Bulk or Retail/Private label requirements. Please let us know your specific demands via info@ahtfoods.com to provide you a formal offer. ?WE ARE AHT, WE LOVE OUR CLIENTS Sincerely yours, AHT Sales team"
AIB Foods,Hall: Shk Saeed Hall 1 Stand: S1-B58,"Amin House Woden Road ,Wolverhampton ,United Kingdom ",http://www.aibfoods.co.uk,,,,,,
AJC International - AE,Hall: Hall 4 Stand: C4-33,"Silver Tower, Suite 15J, Cluster I ,Jumeirah Lakes Towers ,Dubai ,United Arab Emirates ",https://www.ajcinternational.com,,,,,,
Ajinomoto Istanbul Gida San. ve Tic. Ltd. Sti.,Hall: Za'abeel Hall 2 Stand: Z2-D14,"Maslak Mahallesi Bilim Sokak (Sun Plaza â€“ A Blok) ,No 5A Ic Kapi 7273 Sariyer  Istanbul ,Istanbul ,Turkey ",http://www.ajinomoto.com.tr,,,,,,
Akanlar Cikolata Icecek Gida San. Ve Nak. Tic. Ltd. Sti,Hall: Za'abeel Hall 3 Stand: Z3-F47,"3. OSB Kamil Serbetci Bul. 83315 Nolu Cad. No:8 ,Baspinar ,Turkey ",https://www.akanlargida.com,,,,,,"AKANLAR CHOCOLATE & DRINK CO. has started its commercial activities by wholesale of foodstuff in domestic market in 1978. In 1992, has started to foreing trade and exporting many items especially to Middle East and African markets. • In 2002, began manufacturing of Wafers, Flavoured Instant Powder Drinks and Instant Coffee. Since then, it is developing regularly by increasing its product portfolio with manufacture of Chocolate, Food Seasonings (Chicken, Beef and Vegetable Bouillon) and Hot Drinks (3in1 Coffee, 2in1 Coffee, Cappuccino, Latte etc).. • AKANLAR’s main goal is to provide a continuous production & development and customer satisfaction with always improving the quality, following innovations and using high technology, employing experienced and dedicated staff, using high quality raw materials, manufacturing under safety and hygienic conditions and increasing its production capacity steadily. • Today, AKANLAR CHOCLATE AND DRINK CO. is one of the leading manufacturer of Chocolate, Instant Powder Drink and 3in1 Coffee. It export it’s products over 35 countries and It expand its market day by day."
Akdeniz Entegre Food Co.,Hall: Hall 2 Stand: F2-151,"Antakya Organized Industrial Zone Location - Hatay ,Hatay ,Turkey ",https://www.akdenizentegre.com.tr,,,,,,
Akil Food Trade Co.,Hall: Za'abeel Hall 2 Stand: Z2-B35,"Aydinlar Mah. 03073 Nolu Cadde ,No: 14 Sehitkamil - Gaziantep ,Gaziantep ,Turkey ",http://www.akilgida.com.tr,https://www.facebook.com/gustoterra,https://www.instagram.com/gustoterra/,,https://www.linkedin.com/company/akil-gida,,"Akil Food Trade Co. is a company that produces ready foods and cooking helper products in an industrial area of about 4.000 square meters and exports them to all around the world With a production capacity of 5.000 tons a year,"
Akbar Brothers (Pvt) Ltd. - LK,Hall: Za'abeel Hall 3 Stand: Z3-E4,"P.O.Box 1726 ,334, T.B.Jayah Mawatha, ,Colombo 10 ,Sri Lanka ",http://www.akbar.com,https://www.facebook.com/AkbarBrothersPvtLtd,https://www.instagram.com/akbar_brothers/,https://www.youtube.com/channel/UCcHaWI2TDXs7pXCboJ2RUJA/videos,https://www.linkedin.com/company/3034186/,https://twitter.com/AkbarLtd,"AKBAR BROTHERS (PVT) LTD – The World's largest exporter of Ceylon Tea (An accolade we have held unchallenged for the past 28 years) Akbar Brothers market the global tea brands AKBAR TEA and DO GHAZAL TEA to over 90 countries worldwide and We also undertake Private labels (OEM) and Bulk Orders. We offer a full range of black teas, green teas, fruit teas, herbal teas, ice teas (RTD) and tea extracts. Our teas can be sold as Rain Forest Alliance, UTZ, Fairtrade and Organic and are packed in Asia’s only Carbon Inset company. Our facilities are International Food Standard (IFS), HACCP, ISO 22000 and GMP certified www.akbar.com"
Aksu Gida Mad Iml San Ve Tic Ltd Sti,Hall: Shk Maktoum Hall Stand: M-C39,"Buyukkayacik Osb Mah 512 Nolu Sok Sanayi Blok No 161 Selcuklu  Konya ,Konya ,Turkey ",https://www.aksufood.com.tr,,,,,,"Our company manufactures and exports chocolates and sweets in Turkey and we would like to give your esteemed company some information about ourselves for business opportunities. Since 1976 we have been providing chocolate and candy products all over the world with our professional team under the name of Aksu Chocolate Candy. We manufacture and sell these products Compound Chocolate Chocolate Bar Soft Candy Groups Hard Candy Coconut Filled Chocolate and our goal is to improve day by day. As Aksu Food Limited Company, we manufacture and sell all kinds of ISO220000 2005 ISO 9001 2008 and HALAL certificates"
Akturk Group,Hall: Za'abeel Hall 2 Stand: Z2-E4,"4. Organize Sanayi Bolgesi 83418 Nolu Sok. No:12 Baspinar Sehitkamil ,Gaziantep ,Turkey ",https://www.akturksaglik.com,,,,,,
Al Ard Palestinian Agri Products Ltd.,Hall: Shk Maktoum Hall Stand: M-H12,"Palestine, State of ",,,,,,,
Al Ameera Food Ind. Llc - AE,Hall: Concourse 1 Stand: CC3-1,"P.O. Box 23023 ,Industrial Area 1, King Faisal Street Sharjah –UAE ,Sharjah ,United Arab Emirates ",https://alameerafood.com,,,,,,"Al Ameera Foodstuff Industries was established in 2006. We are a specialized manufacturer of traditional food products in the UAE, offering superior product quality and service standards. We’ve been proudly serving the region with our range of premium products since 2006. Our factory is the UAE’s largest manufacturer of Tahina and Halawa and has gained an enviable reputation across the Gulf region (GCC). At Al Ameera, the quality and safety of our products is a top priority. We’re proud to be the only ISO 22000:2005, HACCP, Halal and Kosher certified Tahina factory in the UAE. We follow rigorous processes to ensure we select Premium, high-quality raw materials. Our factory follows strict hygiene standards and utilizes advanced techniques. During manufacturing, regular samples are collected to test in our laboratory and perform checks to ensure the highest quality and hygiene. Our processes always comply with stringent regulations and the latest scientific knowledge. After the raw material feeding stage, our fully automated production line ensures no human contact until the products are approved, packed and ready for distribution. All these steps are followed to ensure our clients receive the highest quality products. Today, Al Ameera has a solid presence in the local market which is supported by a strong distribution channel and delivery fleet. The brand has impressive consumer awareness and is available in most modern and traditional trades. The products are also positioned as the first choice in the HORECA sector with a strong distribution network to high-end restaurants and 5-star hotels, airlines and many renowned catering companies. Through partnerships and the support of our agents, we are present in over 25 countries around the world and continue to expand."
Al Ain Farms for Livestock Production - AE,Hall: Hall 2 Stand: C2-25,"P.O. Box 20277 ,Al ain ,United Arab Emirates ",http://www.alaindairy.com,,,,,,
Al Ammar Frozen Foods Exports Pvt. Ltd.,Hall: Hall 4 Stand: 401,"UGF-37, WORLD TRADE CENTER ,BABAR ROAD ,APEDA REGN NO. 197 - ALIGARH UTTAR PRADESH ,NEW DELHI ,110001 ,India ",http://www.al-ammar.in,,,,,,"Al Ammar Frozen Food Exports Pvt. Ltd. APEDA Plant No. 197, Manufacturer and Exporter of Frozen and chilled boneless buffalo meat and offal is an established integrated abattoir spread across and situated in Aligarh, Uttar Pradesh, India, equipped with highly modern state of art Slaughtering and processing facilities of Buffalo and adhere to halal slaughtering procedure as per Islamic rites for the production and exports of frozen and chilled Buffalo Meat and the Company’s daily production capacity in terms of Quantity is 150 MTS. The Abattoir is certified by Indian Govt. competent authority i.e., Agriculture and Processed food products Export Development Authority APEDA, Ministry of commerce and Industries, and implements HACCP and conforms to the quality management system standard ISO 9001 2015 AND ISO 22000 2018. Al Ammar 197 is well equipped to operate swiftly as per customer requirement the logistics, transport and export documentation process having hassle free client service. Al Ammar now exports to 64 Countries in Middle East, Asia, South East Asia, West AND North Africa and CIS countries. Our brands AL AMMAR, MARWA and A. M. STAR are well known for its exceptional quality product."
Al Arz Ice Cream Co.,Hall: Shk Maktoum Hall Stand: M-J15,"Nablus ,Palestine, State of ",https://www.alarz.ps,http://facebook.com/alarz,,,,,"From its humble beginning in 1950, producing ice in order to cool water and store food, Al Arz has evolved to be the leader of frozen treats market in Palestine. Since its establishment by the late Mohammad Anabtawi in Nablus, Palestine, Al Arz grew into a successful producer of high quality ice cream. With state of the art facilities and equipment along with a production capacity reaching up to 8 million liters of ice cream per month, using only the best ingredients sourced from around the world, we aim to create a smile for our clients who enjoy different tastes of life. Al Arz ice cream was among the first companies in the Middle East to acquire the FSSC22000 V5.1 certification."
