Name,Stand,Description,Address,Website
Afro Asian Foodstuff LLC,Hall: Concourse 1 Stand: CC3-42,"Afro Asian Foodstuff LLC is a whole sale importer in UAE, and key players in the GCC commodity market. The company has grown exponentially under the forward-thinking leadership of a group of entrepreneurs who shared a common objective and vision. Company supplies raw materials to some of the biggest food and beverage brands across the globe. With worldwide connectivity and its seamlessly integrated operations and services, the group has successfully designed, developed and commercially exported wide range of products and services to most parts of the world.","Shop No. 3, Al Ras ,Deira ,United Arab Emirates ",https://www.afroasianfood.com
Agri Global INC.,Hall: Za'abeel Hall 5 Stand: Z5-F62,"We would like to introduce our company AGRI GLOBAL INC. one of the leading Government of India Recognized 2 STAR EXPORT HOUSE. AGRI GLOBAL INC., is one of the leading Indian companies established in 2008 and specialized in processing, manufacturing and exporting of Indian Rice.Company having our own Rice Processing Plants in Haryana and Punjab installed with latest STATE OF ART Machineries with a huge quantity production capacity daily basis directly from paddy, also we have the packaging unit in Gandhidham, Gujarat, India. We are popularizing Indian Rice throughout the world. Our vision is to introduce quality Indian Rice to existing local as well as new international markets.We have different types of products on our portfolio, with different varieties of Rice with different packaging options available. The company is ISO, HACCP; APEDA certified and accredited the highest quality mark by Indian Standards Organization.We supply our Products in our brand (Sultan Crown and Malika E Hind) as well as buyers' brands all over the world. We supply our products to many countries....like Iraq, Turkey, Oman, Kuwait, Israel, Palestine, Bahrain, Saudi, Azerbaijan, Egypt, Yemen, Lebanon, Turkmenistan, UAE, Comoros, Morocco, Somalia, Benin, Kenya, Mauritania, Angola, South Africa……and many more.","614-A, 6th Floor, D-Mall, ,Netaji Subash Place, Pitampura ,New Delhi ,India ",https://www.agriglobalinc.com
Agranela - RS,Hall: Trade Centre Arena Stand: S-C4,"Agranela‘s long term commitment and main goal is production of high quality, healthy product that complies with international standards and regulations. Their products are certified with HACCP, BRC , IFS and Organic standards. More than 90 percent of its production is exported, both in bulk and under their own label STELA PRUNELA, or under foreign customers PL requested. Their parent company established back in 1992 as a predominantly export-oriented company, is engaged in a range of diverse activities. In 2004, Agranela became an independent company fully dedicated to growing, manufacturing and processing of fruits, mostly plums. Products Pasteurized Prunes pitted or unpitted without preservative, with long shelf life, Conventional Prunes pitted or unpitted sorbated, Dried sour cherries, Dried pears, Chocolate coated prunes and apricots, Organic prunes.","Mirka Obradovica bb ,Valjevo ,14000 ,Serbia ",http://www.agranelasrbija.com/intro.php
Agrico International DMCC,Hall: Za'abeel Hall 4 Stand: Z4-140,"AGRICO International is a leading home-grown company that originates, sources, manages and distributes agro-commodities through a sustainable supply chain system. With a keen eye for opportunities and vast experience across multiple regions, the company specializes in facilitating partnerships and movement of goods swiftly. Leveraging its strategic location and vast network, AGRICO provides the finest quality produce sourced from the farms and manufacturers across the world. The company provides the finest livestock raw materials, food grains, and end-to-end supply chain management to a range of high-profile customers and government entities. Bringing over a decade of expertise and knowledge, AGRICO works closely with various stakeholders and caters to the needs of farmers, manufacturers, and retailers. With an acute realization and understanding of agriculture, farming and logistics, AGRICO works as an intermediary to facilitate partnerships between its clients in the MEA and SEA region and suppliers across the world.","1008 - Gold Crest Executive ,Jumeirah Lakes Towers - Cluster C ,Dubai ,United Arab Emirates ",https://www.agricointl.com
Ahlia Group Co. W.L.L - KW,Hall: Hall 6 Stand: D6-39,"Ahlia Group was established in the year 1996 with the aim to process, pack and distribute authentic, premium spices, pulses, herbs and other food products. Over the years, we have emerged to be the market leader, prime importer, retailer, processor and distributor of spices, herbs and pulses globally. Our deep understanding of the spices industry permits us to guarantee customers with high quality products and premium packaging. For about 3 decades, Ahlia served its consumers by focussing on original values, original quality & original taste. The brand value stems from integrity, exceptional service, trust, reliability and doing what it takes to fulfil our consumers wishes. Due to our genuine long time unwavering services, the ‘Ahlia brand’ has been accepted abroad by many companies, distributors and retail outlets This is our third decade of service and our brand has expanded into the GCC markets, North-African region and the European continent. Since our inception in 1996, the Ahlia brand has grown leaps and bounds. All through our modest beginnings, we had maintained our vision and set eyes on accomplishing goals and eventually emerged as the market leader, surpassing the many brands that started earlier, but were short-lived. Our commitment to serve congenially and our unfailing willingness to provide our consumers the best quality products has made Ahlia the leader both in the industry and in the regions where we serve.","P.O. Box 2280 ,P.O Box 2280, Safat 13023, Kuwait ,Ardiya, Block 1 ,Kuwait ,Kuwait ,13023 ,Kuwait ",https://www.ahliafood.com
AHMED FOODS (PRIVATE) LIMITED,Hall: Za'abeel Hall 6 Stand: Z6-F40,"Ahmed Foods, established in 1952, is one of the pioneers of ethnic foods in Pakistan, starting off with a dominant player in the region for Pickles, Jams, and Syrups. In time expanding our reach to the world with market-specific products. Our wide range of products include Pickles, Ground spices, Recipe spices, Jams, Crystals Jellies, Cooking Pastes, Ethnic Dessert and Sauces. Serving homes as well as hotels & restaurants our products cater to a wide range of customers. Over the years Ahmed Foods has solidified its place in the international market, garnering customers not only from the South East-Asian region but Western as well. One of our priced products for the Western audience is our Crystal Jellies which are Gluten-Free. This shows how versatile our line of products are.","AHMED HOUSE, D-112 Abdullah Ahmed Road, Sindh Industrial Trading Estate ,Karachi ,Pakistan ",https://ahmedfood.com.pk/
Akanlar Cikolata Icecek Gida San. Ve Nak. Tic. Ltd. Sti,Hall: Za'abeel Hall 3 Stand: Z3-F47,"AKANLAR CHOCOLATE & DRINK CO. has started its commercial activities by wholesale of foodstuff in domestic market in 1978. In 1992, has started to foreing trade and exporting many items especially to Middle East and African markets. • In 2002, began manufacturing of Wafers, Flavoured Instant Powder Drinks and Instant Coffee. Since then, it is developing regularly by increasing its product portfolio with manufacture of Chocolate, Food Seasonings (Chicken, Beef and Vegetable Bouillon) and Hot Drinks (3in1 Coffee, 2in1 Coffee, Cappuccino, Latte etc).. • AKANLAR’s main goal is to provide a continuous production & development and customer satisfaction with always improving the quality, following innovations and using high technology, employing experienced and dedicated staff, using high quality raw materials, manufacturing under safety and hygienic conditions and increasing its production capacity steadily. • Today, AKANLAR CHOCLATE AND DRINK CO. is one of the leading manufacturer of Chocolate, Instant Powder Drink and 3in1 Coffee. It export it’s products over 35 countries and It expand its market day by day.","3. OSB Kamil Serbetci Bul. 83315 Nolu Cad. No:8 ,Baspinar ,Turkey ",https://www.akanlargida.com
Akil Food Trade Co.,Hall: Za'abeel Hall 2 Stand: Z2-B35,"Akil Food Trade Co. is a company that produces ready foods and cooking helper products in an industrial area of about 4.000 square meters and exports them to all around the world With a production capacity of 5.000 tons a year,","Aydinlar Mah. 03073 Nolu Cadde ,No: 14 Sehitkamil - Gaziantep ,Gaziantep ,Turkey ",http://www.akilgida.com.tr
Aksu Gida Mad Iml San Ve Tic Ltd Sti,Hall: Shk Maktoum Hall Stand: M-C39,"Our company manufactures and exports chocolates and sweets in Turkey and we would like to give your esteemed company some information about ourselves for business opportunities. Since 1976 we have been providing chocolate and candy products all over the world with our professional team under the name of Aksu Chocolate Candy. We manufacture and sell these products Compound Chocolate Chocolate Bar Soft Candy Groups Hard Candy Coconut Filled Chocolate and our goal is to improve day by day. As Aksu Food Limited Company, we manufacture and sell all kinds of ISO220000 2005 ISO 9001 2008 and HALAL certificates","Buyukkayacik Osb Mah 512 Nolu Sok Sanayi Blok No 161 Selcuklu  Konya ,Konya ,Turkey ",https://www.aksufood.com.tr
Akbar Brothers (Pvt) Ltd. - LK,Hall: Za'abeel Hall 3 Stand: Z3-E4,"AKBAR BROTHERS (PVT) LTD – The World's largest exporter of Ceylon Tea (An accolade we have held unchallenged for the past 28 years) Akbar Brothers market the global tea brands AKBAR TEA and DO GHAZAL TEA to over 90 countries worldwide and We also undertake Private labels (OEM) and Bulk Orders. We offer a full range of black teas, green teas, fruit teas, herbal teas, ice teas (RTD) and tea extracts. Our teas can be sold as Rain Forest Alliance, UTZ, Fairtrade and Organic and are packed in Asia’s only Carbon Inset company. Our facilities are International Food Standard (IFS), HACCP, ISO 22000 and GMP certified www.akbar.com","P.O.Box 1726 ,334, T.B.Jayah Mawatha, ,Colombo 10 ,Sri Lanka ",http://www.akbar.com
Al Ameed Coffee Kuwait,Hall: Za'abeel Hall 3 Stand: Z3-B3,"Alameed Coffee Roasters & mills was established in 1973 in Kuwait, where the first branch of the company settled to be the parent branch of the company by Mr Abdurahman Dashti, who translated his thoughts and love for coffee into a roastery offering the most delicious coffee mix with the highest quality standards that won the admiration of the majority. Which prompted him to think about the need to expand and spread. Our primary concern has been and remains our brand, prestige and leadership, which are based on quality, excellence and customer confidence. Today, with pride and after years of hard work, we have one of the largest and most modern coffee factories in the Middle East, as well as our brand fame, we are achieving a complete balance between the desire to succeed and providing the best. The success story began in 1973, our experience and enthusiasm leaded us to launch our own coffee producing business. Starting from the selection of the best coffee beans, passing by the professional roasting operation and ending by the special packing using the using the most advanced machines, that guarantees the most authentic flavour. As the confidence of our customers is our highest goal. We always strive to make our products the best choice for our customers in the Middle East. And to maintain the path of success quality and originality must be maintained and always looking ahead To be an outstanding model in providing high quality products paired to the excellence in customer service. ????? ???? ????? ?????? ?? ?????? ??? 1973 ? ????? ?????? ??? ??? ??? ??? ?????? ????? ?????? ????? ???? ??? ?? ????? / ??? ?????? ???? ???? ???? ?????? ????? ?????? ??? ????? ???? ??? ????? ????? ???? ???????? ????? ?????? ?????? ??? ???? ??? ????? ?????????","Ahmed Tower, 4th Floor, Sharq, Gulf Road ,52 Kuwait ,Kuwait ",http://www.alameed.com
Al Ammar Frozen Foods Exports Pvt. Ltd.,Hall: Hall 4 Stand: 401,"Al Ammar Frozen Food Exports Pvt. Ltd. APEDA Plant No. 197, Manufacturer and Exporter of Frozen and chilled boneless buffalo meat and offal is an established integrated abattoir spread across and situated in Aligarh, Uttar Pradesh, India, equipped with highly modern state of art Slaughtering and processing facilities of Buffalo and adhere to halal slaughtering procedure as per Islamic rites for the production and exports of frozen and chilled Buffalo Meat and the Company’s daily production capacity in terms of Quantity is 150 MTS. The Abattoir is certified by Indian Govt. competent authority i.e., Agriculture and Processed food products Export Development Authority APEDA, Ministry of commerce and Industries, and implements HACCP and conforms to the quality management system standard ISO 9001 2015 AND ISO 22000 2018. Al Ammar 197 is well equipped to operate swiftly as per customer requirement the logistics, transport and export documentation process having hassle free client service. Al Ammar now exports to 64 Countries in Middle East, Asia, South East Asia, West AND North Africa and CIS countries. Our brands AL AMMAR, MARWA and A. M. STAR are well known for its exceptional quality product.","UGF-37, WORLD TRADE CENTER ,BABAR ROAD ,APEDA REGN NO. 197 - ALIGARH UTTAR PRADESH ,NEW DELHI ,110001 ,India ",http://www.al-ammar.in
Al Ameera Food Ind. Llc - AE,Hall: Concourse 1 Stand: CC3-1,"Al Ameera Foodstuff Industries was established in 2006. We are a specialized manufacturer of traditional food products in the UAE, offering superior product quality and service standards. We’ve been proudly serving the region with our range of premium products since 2006. Our factory is the UAE’s largest manufacturer of Tahina and Halawa and has gained an enviable reputation across the Gulf region (GCC). At Al Ameera, the quality and safety of our products is a top priority. We’re proud to be the only ISO 22000:2005, HACCP, Halal and Kosher certified Tahina factory in the UAE. We follow rigorous processes to ensure we select Premium, high-quality raw materials. Our factory follows strict hygiene standards and utilizes advanced techniques. During manufacturing, regular samples are collected to test in our laboratory and perform checks to ensure the highest quality and hygiene. Our processes always comply with stringent regulations and the latest scientific knowledge. After the raw material feeding stage, our fully automated production line ensures no human contact until the products are approved, packed and ready for distribution. All these steps are followed to ensure our clients receive the highest quality products. Today, Al Ameera has a solid presence in the local market which is supported by a strong distribution channel and delivery fleet. The brand has impressive consumer awareness and is available in most modern and traditional trades. The products are also positioned as the first choice in the HORECA sector with a strong distribution network to high-end restaurants and 5-star hotels, airlines and many renowned catering companies. Through partnerships and the support of our agents, we are present in over 25 countries around the world and continue to expand.","P.O. Box 23023 ,Industrial Area 1, King Faisal Street Sharjah –UAE ,Sharjah ,United Arab Emirates ",https://alameerafood.com
Al Arz Ice Cream Co.,Hall: Shk Maktoum Hall Stand: M-J15,"From its humble beginning in 1950, producing ice in order to cool water and store food, Al Arz has evolved to be the leader of frozen treats market in Palestine. Since its establishment by the late Mohammad Anabtawi in Nablus, Palestine, Al Arz grew into a successful producer of high quality ice cream. With state of the art facilities and equipment along with a production capacity reaching up to 8 million liters of ice cream per month, using only the best ingredients sourced from around the world, we aim to create a smile for our clients who enjoy different tastes of life. Al Arz ice cream was among the first companies in the Middle East to acquire the FSSC22000 V5.1 certification.","Nablus ,Palestine, State of ",https://www.alarz.ps
Al Barakah Dates Factory LLC,Hall: Hall 6 Stand: 609,"Al Barakah Dates is a leading producer of Date ingredients made from 100 percent dates such as Date Paste, Date Syrup, Date Powder, Chopped Dates, Golden Date Syrup, and Colorless liquid Date Sugar. Everything is manufactured in-house at our state-of-the-art production facility in Dubai. We’re a BRC Grade A certified second-generation family business that aims to provide manufacturers with clean and simple date ingredients to sweeten and add into their finished products.","P.O. Box 55961, Dubai Investments Park, Jebel Ali ,SAIH SHUAIB 2 ,DUBAI INDUSTRIAL CITY ,DUBAI ,55961 ,United Arab Emirates ",https://www.albarakahdatesfactory.com
Al Barakeh Food Industries LLC,Hall: Shk Rashid Hall Stand: R-150,"Founded in 1995, Al Barakeh Food Industries LLC is one of Jordan’s largest and most recognizable food companies and excels at providing customers with a wide variety of quality food products. Al Barakeh is constantly working to develop our products by keeping pace with improvements in food production and packaging technology. Recently, Al Barakeh added a new state-of-the-art TetraPak A3 Compact Flex 300 production line. This line transformed Al Barakeh factory into new level of high quality production and will ensure the position of the company as a leading tomato paste producer for many years to come.","Al Barakeh Food Industries LLC ,Aljizah After Airport St. ,Amman ,P.O. Box 5047 ,Jordan ",http://www.albarakehfood.com
"Al Bashayer Meat Company, S.O.A.C.",Hall: Za'abeel Plaza Stand: ZP-C2,"Al Bashayer Meat company, S.A.O.C., is the first and largest fully integrated red meat project in Oman and as well as in the region, owned by the Sultanate for the food security and self-sufficiency of red meat and livestock in Oman and in the region.. Livestock – cattle, sheep, goats and camel are raised and fattened in the farms with its own quarantine, feedlots, live stock trading, abattoir, and a state-of-art processing plant facilities, adhering to the strict sharia (Islamic) principles and animal welfare. The project has been designed by the internationally acclaimed Italian firm, the state-of-art abattoir and processing plant from global leaders in Europe. The live stocks are raised in disease free farms as per global standards with the highest animal welfare standards at par with the Australian standards, with local feed which gives the end product exclusive taste and flavor of Oman raised live stock, which is the most sought out product for meat eating lovers. Al Bashayer is “the only premium brand of Omani origin”, amongst all other country origin global brands available locally and in the GCC. Our distribution structure is spread across the entire trade channels which includes Modern trade, food service segment, traditional retail segment, institutions, HORECA, as the only brand of Oman Origin offering exclusive flavor from the hills of Salalah, Dhofar region. We are also exporting to UAE, Saudi Arabia, Qatar, Bahrain, and Kuwait. Our product range includes packaged products – Carcass (poly stockinet), Vacuum packs, MAP tray packs catering to different trade and consumer segments with a 14day and 90days expiry as well as B/in Beef 4way cuts and chilled Vacuum pack all are in natural fall proportion. We are also certified with the following ISO and HACCP certifications: ISO 9001 : 2015 ISO 14001 : 2015 ISO 22000 :","Al Nahda Building 2, 8th Floor ,Office No. 1 Ghala,Muscat ,Muscat ,Sultanate Of Oman ,PO Box 739,PC 130 Sultanate Of Oman ,Oman ",https://www.albashayer.om
8th Avenue Food & Provisions,Hall: Shk Saeed Hall 2 Stand: S2-F13,"8th Avenue Food & Provisions is a leading, private brand-centric, consumer products holding company, manufacturing and selling private brand food products primarily to retail, foodservice and ingredient customers.","30 Citizen Court ,Markham ,L6G 1C4 ,Canada ",https://www.8ave.com
A D K  Multi General Trading L.L.C.,Hall: Za'abeel Hall 6 Stand: Z6-B52,A D K Multi General Trading L.L.C.,"PO Box 185012 ,Business Point Building, Office No. 802, 8th Floor ,Port Saeed, Deira ,United Arab Emirates ",https://www.mubadalamulti.com
Al Bajes Company For Natural Herbs and Honey Production,Hall: Za'abeel Hall 3 Stand: Z3-110,Al-Attar is the first founder of the herbal pharmaceutical industries in the Arab world. It was established in 1990 with a scientific cooperation and institutional centers and research laboratories specialized in the field of developing medicinal herbs and plants. The company is to develop and manufacture its products through scientific research for medicinal plants through the medical and pharmaceutical staff that specialized in the field of herbal research and medicinal plants following the line of the international scope of natural therapy in a scientific and constitutional method. It follows and perform all the implementation of the Organization Terms of the World Health Organization WHO.,"Abu Al Aswad Al Doaly Street ,P.O. Box 2359, Marka ,amman ,Jordan ,11134 ,Jordan ",https://www.al-attar.jo
A&B VIETNAM INVESTMENT JSC,Hall: Za'abeel Plaza Stand: ZP-B46,"A&B is proud to be a Food & Beverage manufacturer and Brewery in the North of Vietnam with more than 20 years of experience. With the continuous development of business, production capacity, and export, A&B's products such as Beer, energy drinks, juice drink, vermicelli, pho noodles which are always follow the international standards HACCP, ISO, FDA, HALAL etc. and have been exporting to more than 60 countries around the world. A&B VIETNAM - Vietnamese Enterprise - Prestige and Quality","No 45 Nguyen Son Street, Ngoc Lam Ward ,Long Bien District ,Viet Nam ",https://www.abvietnam.vn
Aachi Masala Foods Pvt. Ltd,Hall: Trade Centre Arena Stand: S-103,"Aachi Masala Foods is a leading Indian MNC manufacturing spices, spices blends, pickles, pastes, Ready to cook products and other food products with a turnover of over 250million USD. Our company exports to over 50 plus countries across the globe. We boast of our state of art manufacturing facility with superior machinery imported from Germany and many 1st world countries, adapting to latest technology in the food industry. We support our farmers and procure our raw material from the farmers directly cutting the middleman costs and hence able to offer our quality products at the right price.","Plot No:1926,34th Street,I Block ,Ishwarya colony ,Anna Nagar West ,India ",https://www.aachigroup.com
A&Y Food Industries Pvt ltd,Hall: Za'abeel Hall 6 Stand: Z6-J47,"A&Y Food Industries Pvt Ltd is a Pakistan based, Frozen food manufacturing & export oriented company, accredited with FSSC 22000, ISO,HACCP, VEGAN & HALAL Certificates, the company is being run by a team which is originated with a clear objective to cater authentic Pakistani and South Asian cuisines around the globe. Our international brand is there to ensure & to provide with excellent food products in the different categories of Ready to Cook, Heat and Eat, Ready minute meals, Frozen Fruits & Vegetables. Catering over 150 plus products under the brand name of KARACHI DELIGHT, the products are prepared delicately and thus extra attention is paid on procuring finest and best quality ingredients- easy to prepare and promise impeccable results. Top Sellers include Frozen Naan Breads, Frozen Paratha (flatbreads), Frozen Minute Meals, Frozen Samosa and allied pastry based products","Landhi Export Processing Zone (KEPZ) ,Plot No. 1, Sector A/3 ,Pakistan ",https://www.ayfoodindustries.com
Aayz Trading FZC,Hall: Za'abeel Plaza Stand: ZP-20,"Aayz Trading FZE is one of the fastest growing trading company since 2013. Over the years we've been delighted to be recognized by both industry and customers alike for our product innovation and service excellence. We are registered and strategically located in the Ras Al Khaimah Free Trade Zone, UAE. It’s a special economic zone in Ras Al Khaimah, which is one of the seven Emirates that comprise the United Arab Emirates, along with Abu Dhabi and Dubai. Hence, in today’s global market, this gives us an advantage to connect to the growing markets and leading economies. As a global source partner, we offer a wide variety of high-quality products and try to meet the growing demands of different markets. This is why, in the UAE, we have specially set up our branch office that provides distribution and trading services, especially within the GCC region.","Exec. Office 903, Emirates Islamic Bank Building RAK Free Trade Zone ,United Arab Emirates ",http://www.aayztrading.ae/
